ID,Name,Origin,Width,Length,Thickness,Material,Type,Electrical
1,Baseplate1,"0,0",40,40,1,copper,p,F
2,Bottom_Metal,"5,5",30,30,0.2,copper,p,G
3,Ceramic1,"5,5",30,30,0.64,Al_N,p,D
4,I1,"5,5",30,30,0.2,copper,p,S
5,C1,,30,30,0.36,None,a,C
6,I2,"5,5",30,30,0.2,copper,p,S
7,Ceramic2,"5,5",30,30,0.32,Al_N,p,D
8,I3,"5,5",30,30,0.2,copper,p,S
9,C2,,30,30,0.36,None,a,C
10,I4,"5,5",30,30,0.2,copper,p,S
11,Ceramic3,"5,5",30,30,0.64,Al_N,p,D
12,Top_Metal,"5,5",30,30,0.2,copper,p,G
13,Baseplate2,"0,0",40,40,1,copper,p,F
