Layout_ID,Inductance,Max_Temperature
10,80.99736597714839,326.31761794479326
15,49.126124168870085,330.98650039495277
19,2.450368524405782,348.30740497400205
24,59.03773856261379,328.9035706426019
27,22.98976734931989,337.8012958020479
28,5.31032911821637,348.03160831256724
30,6.314163163921513,340.55125398383313
33,53.846584275492035,329.9588405286387
40,42.06212845784606,333.2663708360346
51,30.79768595362134,334.59324536333696
52,49.81312846330785,330.717039017076
53,27.98874029438124,337.79477757797486
54,82.34898143015982,324.7897509824065
57,39.83834888365681,333.3926963819245
58,100.0904985631017,322.58670407807006
