Size,Inductance,Max_Temperature
"(52100.0, 68500.0)",20.200339020590384,366.2995647722594
I1,52.1,68.5
Component_Name,x_coordinate,y_coordinate,width,length
L7,38.2,2.0,1.0,1.0
T1,29.0,1.0,22.1,3.1
L1,36.2,6.1,1.0,1.0
T2,29.0,5.1,22.1,3.1
D1,30.1,10.2,4.0,6.0
D2,35.1,10.2,4.0,6.0
T3,29.0,9.2,12.1,9.1
T11,41.1,9.2,10.0,34.1
T5,23.1,33.3,18.0,10.0
L4,42.1,51.3,3.0,3.0
T12,41.1,50.3,10.0,17.2
C1,41.1,43.3,10.0,7.0
L2,24.0,15.2,3.0,3.0
T4,28.0,19.3,12.1,2.0
T9,23.1,1.0,4.9,20.3
T14,1.0,1.0,22.1,17.3
L3,24.0,58.3,3.0,3.0
D3,30.1,50.3,4.0,6.0
D4,35.1,50.3,4.0,6.0
T6,28.0,44.3,12.1,14.0
T10,23.1,44.3,4.9,23.2
T15,1.0,58.3,22.1,9.2
L5,30.0,61.4,1.0,1.0
T7,29.0,60.3,11.1,3.1
L6,30.0,65.5,1.0,1.0
T8,29.0,64.4,11.1,3.1
C2,16.1,33.3,7.0,10.0
T13,1.0,33.3,15.1,10.0
C3,1.0,18.3,15.0,15.0
C4,1.0,43.3,15.0,15.0
B1,31.1,7.2,0.25,0.25
B9,31.1,11.2,0.25,0.25
B2,36.1,7.2,0.25,0.25
B10,36.1,11.2,0.25,0.25
B3,31.1,20.3,0.25,0.25
B11,31.1,15.2,0.25,0.25
B4,36.1,20.3,0.25,0.25
B12,36.1,15.2,0.25,0.25
B5,31.1,42.3,0.25,0.25
B13,31.1,51.3,0.25,0.25
B6,36.1,42.3,0.25,0.25
B15,36.1,51.3,0.25,0.25
B7,31.1,61.3,0.25,0.25
B14,31.1,55.3,0.25,0.25
B8,36.1,61.3,0.25,0.25
B16,36.1,55.3,0.25,0.25
B17,33.1,65.4,0.25,0.25
B19,33.1,55.3,0.25,0.25
B18,38.1,65.4,0.25,0.25
B20,38.1,55.3,0.25,0.25
B21,33.1,3.1,0.25,0.25
B23,33.1,11.2,0.25,0.25
B22,38.1,3.1,0.25,0.25
B24,38.1,11.2,0.25,0.25
Substrate,0.0,0.0,52.1,68.5
