Size,Inductance,Max_Temp
"[17.7, 12.0]",0.6668432960607322,377.80662565320586
I1
Component_Name,x_coordinate,y_coordinate,width,length
L1,13.7,1.0,3.0,3.0
D1,2.1,5.0,4.0,6.0
V1,2.6,8.5,1.0,1.0
V2,2.6,5.5,1.0,1.0
D3,7.1,5.0,4.0,6.0
V6,7.6,8.5,1.0,1.0
V7,7.6,5.5,1.0,1.0
D5,12.1,5.0,4.0,6.0
V10,12.6,8.5,1.0,1.0
V11,12.6,5.5,1.0,1.0
T1,0.5,0.5,16.7,11.0
Substrate,0.0,0.0,17.7,12.0
I2
Component_Name,x_coordinate,y_coordinate,width,length
V2,2.6,5.5,1.0,1.0
V7,7.6,5.5,1.0,1.0
V11,12.6,5.5,1.0,1.0
V3,1.0,1.0,1.0,1.0
T1,0.5,0.5,16.7,6.5
V1,2.6,8.5,1.0,1.0
V6,7.6,8.5,1.0,1.0
V10,12.6,8.5,1.0,1.0
L2,1.0,9.6,1.0,1.0
T2,0.5,8.0,16.7,3.5
Substrate,0.0,0.0,17.7,12.0
I3
Component_Name,x_coordinate,y_coordinate,width,length
V3,1.0,1.0,1.0,1.0
D2,2.1,5.0,4.0,6.0
V4,2.6,8.5,1.0,1.0
V5,2.6,5.5,1.0,1.0
D4,7.1,5.0,4.0,6.0
V8,7.6,8.5,1.0,1.0
V9,7.6,5.5,1.0,1.0
D6,12.1,5.0,4.0,6.0
V12,12.6,8.5,1.0,1.0
V13,12.6,5.5,1.0,1.0
T1,0.5,0.5,16.7,11.0
Substrate,0.0,0.0,17.7,12.0
I4
Component_Name,x_coordinate,y_coordinate,width,length
V5,2.6,5.5,1.0,1.0
V9,7.6,5.5,1.0,1.0
V13,12.6,5.5,1.0,1.0
L4,13.7,1.0,3.0,3.0
T1,0.5,0.5,16.7,6.5
V4,2.6,8.5,1.0,1.0
V8,7.6,8.5,1.0,1.0
V12,12.6,8.5,1.0,1.0
L5,1.0,9.6,1.0,1.0
T2,0.5,8.0,16.7,3.5
Substrate,0.0,0.0,17.7,12.0
