Layout_ID,Inductance,Temperature
386,6.805245727662607,395.9883230249006
644,6.811192893419586,395.96633514274754
675,6.895650932609119,395.7501607437664
678,6.858110851450426,395.77440568919235
689,6.9768659469447805,395.72535162782344
727,7.228556725621109,395.68018928381207
760,6.817134978143763,395.92666819421015
785,6.883810779917623,395.75322320486623
789,7.06434710774568,395.70999989723157
802,6.84821600372782,395.7826226773395
805,6.878688622226176,395.76345001165447
813,7.149559409821339,395.68745974127756
816,6.833376598512684,395.89905995624434
818,6.991333523165801,395.7228172208741
827,6.822148550167574,395.9059483898946
835,6.847335807298333,395.79693137219573
841,7.077239165575387,395.6981553387059
845,7.06434710774568,395.70999989723157
853,6.9768659469447805,395.72535162782344
867,6.910567886996229,395.74753016643973
871,7.147835147974593,395.6884322963848
872,6.852114794806723,395.77850100551046
874,6.872467064175352,395.7635504899983
877,6.928814205816085,395.73985750752445
879,6.862019726516437,395.7675332447772
880,6.994430665755485,395.71687069508874
883,6.97632889685691,395.7296381137615
885,6.915521556178808,395.7444501978209
887,6.9243357724060886,395.7407009477902
888,6.883810779917623,395.75322320486623
899,7.04158746616431,395.7129143197149
900,7.021643609345778,395.71652332806946
903,6.955209771779435,395.73078025505686
904,7.06434710774568,395.70999989723157
909,6.865693911223305,395.76456938699573
914,6.944777151510346,395.73346225274264
915,6.839496727005758,395.88403737697314
917,7.170348921277055,395.6841831771897
923,6.809359840135764,395.9752256088214
928,6.852747003886818,395.7778450362755
930,6.895650932609119,395.7501607437664
934,6.91756811136274,395.74302370341513
